¿Cómo se define el parto pretérmino en cuanto a edad gestacional y peso?,Parto entre la semana 22-36.6 o con peso ≥ 500 g con signos de vida.
"En la prueba de Nitrazina, ¿qué pH indica la presencia de líquido amniótico?",Un pH entre 7.1 y 7.3.
¿Qué hallazgo microscópico confirma una prueba de cristalografía positiva para RPM?,Formación de cristales en forma de 'helechos'.
¿Cuál es la conducta terapéutica en una RPM con más de 34 semanas de gestación?,Finalizar el embarazo.
¿Qué esquema antibiótico profiláctico de primera elección se utiliza en RPM menor a 34 semanas?,"Ampicilina + Eritromicina IV por 2 días, seguido de Amoxicilina + Eritromicina VO por 5 días."
¿Cuál es la vía de interrupción del embarazo preferida en RPM entre las semanas 27 y 32?,Vía abdominal (cesárea).
¿Cuál es la definición clínica de corioamnionitis?,"Inflamación o infección de la placenta, corion y amnios."
¿Cuál es el agente etiológico más frecuente (50%) de la corioamnionitis?,\textit{Ureaplasma}.
¿Qué agente etiológico de la corioamnionitis se asocia específicamente a la realización de tactos vaginales repetidos?,\textit{Mycoplasma hominis} (30%).
Menciona tres de los Criterios de Gibbs para el diagnóstico de corioamnionitis.,"Fiebre > 38°C, taquicardia (fetal o materna) y líquido amniótico fétido."
¿Cuál es el 'Gold Standard' para el diagnóstico de corioamnionitis?,Estudio histológico de las membranas.
¿Qué esquema antibiótico se elige para el tratamiento de la corioamnionitis antes de interrumpir el embarazo?,Ampicilina + Gentamicina.
¿Cuánto tiempo antes de la interrupción del embarazo debe administrarse la antibioticoterapia en caso de corioamnionitis?,6 horas antes.
¿Cómo se define el polihidramnios según el volumen de líquido amniótico?,Acumulación de más de 2000 ml o el doble de lo normal para la edad gestacional.
¿Qué valor del Índice de Phelan en el USG confirma el diagnóstico de polihidramnios?,Mayor a 25 cm.
¿Cuál es la etiología más frecuente del polihidramnios?,Causa idiopática (60%).
¿Cuál es el tratamiento de primera elección para el polihidramnios agudo o grave?,Amniocentesis evacuadora.
¿Cómo se define el oligohidramnios según el volumen de líquido amniótico?,Cantidad menor a 500 ml.
¿Qué valor del Índice de Phelan define al oligohidramnios según los términos ENARM?,Menor a 5 cm.
¿Qué complicación pulmonar se asocia frecuentemente al oligohidramnios severo?,Hipoplasia pulmonar.
¿Cuál es el tratamiento indicado para el oligohidramnios?,Amnioinfusión (500-600 ml de solución fisiológica).
¿Cuál es la intervención más eficaz para reducir la morbimortalidad neonatal en el parto pretérmino?,Administración de corticoesteroides prenatales.
¿Cuál es el periodo intergenésico ideal recomendado para prevenir el parto pretérmino?,Entre 1.5 y 2 años.
¿Qué efecto tiene la ingesta de Omega 3 durante el embarazo respecto al tiempo de gestación?,Previene el parto pretérmino pero aumenta el riesgo de embarazo postérmino.
¿Por qué se debe evitar realizar tactos vaginales en una sospecha de infección o RPM?,Para no aumentar el riesgo de corioamnionitis y progresión de la infección.
"En pacientes con VIH y RPM, ¿cuál es el manejo profiláctico intraparto?",Zidovudina IV.
¿Qué prueba diagnóstica para RPM tiene el mayor Valor Predictivo Positivo (VPP)?,Detección de microglobulina placentaria.
¿Qué porcentaje de reducción de hemorragia intraventricular se logra con el uso de corticoesteroides prenatales?,46%.
