Definición: Sensibilidad,Probabilidad de que la prueba sea positiva entre los enfermos.
"En la fiebre tifoidea, ¿cómo se describe típicamente el patrón de la fiebre en un caso probable?",Fiebre continua en agujas de predominio vespertino.
¿En qué muestras biológicas se debe aislar Salmonella typhi después de la segunda semana para confirmar fiebre tifoidea?,Orina y heces fecales.
¿Cuál es el síntoma pivote que define a un caso sospechoso de intoxicación alimentaria estafilocócica?,Vómitos sin causa aparente después de comer.
¿Cuánto tiempo después de ingerir alimentos suelen aparecer los síntomas en la intoxicación alimentaria estafilocócica?,Después de 2 horas.
¿Qué tipo de alimentos se asocian preferentemente a la intoxicación alimentaria estafilocócica?,"Lácteos (quesos, flanes) y cárnicos."
"En la giardiasis, ¿cuántos días de duración debe tener la diarrea para considerarse caso probable?",Más de 14 días (diarrea crónica).
Mencione dos características de las evacuaciones en un caso probable de giardiasis.,Esteatorrea (heces grasosas) y pálidas.
¿Qué formas parasitarias deben identificarse en el coproparasitoscópico para confirmar giardiasis?,Quistes o trofozoítos.
¿Cuánto tiempo después del contacto sexual aparece el chancro en un caso probable de sífilis?,Tres semanas.
¿Cuáles son las tres características clínicas del chancro sifilítico primario?,"Úlcera indolora, indurada y con exudado seroso."
"En la sífilis, un caso sospechoso se define clínicamente por la presencia de chancro y un resultado positivo en la prueba de _____.",VDRL
¿Qué técnica de laboratorio se considera estándar de oro o definitiva para confirmar un caso de sífilis?,Anticuerpos fluorescentes directos (DFA-TP).
"¿Qué zoonosis requiere notificación inmediata, semanal y cuenta con un sistema de vigilancia especial?",Leptospirosis.
Nombre las tres entidades bajo vigilancia sindromática que requieren notificación inmediata.,"Enfermedad Febril Exantemática, Parálisis Flácida Aguda y Síndrome Coqueluchoide."
¿Cuál es la frecuencia de notificación para la Difteria y la Tosferina?,Notificación inmediata.
"¿Qué enfermedad infecciosa del aparato digestivo requiere notificación inmediata, diaria, semanal y sistema especial?",Cólera.
Mencione tres enfermedades transmitidas por vectores que requieren notificación inmediata.,"Fiebre amarilla, Peste y Dengue hemorrágico."
¿Qué tipos de paludismo requieren notificación inmediata según el agente causal?,Paludismo por Plasmodium falciparum.
¿Cuál es la frecuencia de notificación para el Dengue clásico (fiebre por dengue)?,No tiene notificación inmediata.
"¿Qué enfermedad transmitida por vectores, además del Dengue clásico, no requiere notificación inmediata?",Paludismo por Plasmodium vivax.
"En el contexto de la fiebre tifoidea, ¿en qué periodo es más probable aislar el patógeno en sangre?",Durante la primera y segunda semana de la enfermedad.
"Para el diagnóstico de sarampión, ¿qué institución debe reconocer las técnicas de laboratorio utilizadas?",El InDRE.
¿Qué síntoma prodrómico diferencia al sarampión de la rubéola en la definición de caso probable?,La coriza y la tos (más características del sarampión).
¿Cuál es el rasgo distintivo de la postración en la intoxicación estafilocócica según la definición de caso?,Postración acompañada de hipotermia intensa y diaforesis.
¿Qué criterio de tiempo descarta un caso de intoxicación alimentaria estafilocócica?,No haber ingerido alimentos en más de 8 horas antes del inicio de síntomas.
