¿Cuál es el rango de referencia normal del Volumen Corpuscular Medio ($\text{VCM}$)?,$80-100$ $\text{fL}$.
¿En qué cromosoma se localiza el defecto genético de la $\beta$-talasemia?,Cromosoma $11$.
¿Cuál es la causa más común de talasemia a nivel mundial?,$\beta$-talasemia.
¿A qué edad suele manifestarse clínicamente la $\beta$-talasemia mayor?,A partir de los $6$ meses de vida.
¿Qué hallazgos radiológicos craneales y faciales son típicos de la expansión de la médula ósea en la talasemia mayor?,Cráneo en cepillo y facies de ardilla.
¿Cómo se encuentran típicamente el Ancho de Distribución Eritrocitaria ($\text{ADE}$) y la ferritina en la talasemia menor?,$\text{ADE}$ menor a $11$ y ferritina normal.
¿Cuál es el estudio de elección para el diagnóstico definitivo de las talasemias?,Electroforesis de hemoglobina.
¿Qué fármaco quelante de hierro se utiliza en pacientes con talasemia mayor sometidos a transfusiones frecuentes?,Desferroxamina.
¿Cuál es el tratamiento definitivo para la talasemia mayor?,Trasplante alogénico de médula ósea.
¿Cuál es la composición de cadenas de la Hemoglobina A (del adulto)?,$\alpha_2\beta_2$.
¿Cuál es la composición de cadenas de la Hemoglobina Fetal ($\text{HbF}$)?,$\alpha_2\gamma_2$.
¿Qué mutación molecular específica da origen a la Hemoglobina S en la anemia falciforme?,Sustitución de ácido glutámico por valina en la posición $6$ de la cadena $\beta$.
¿Cuál es el patrón de herencia de la anemia falciforme (drepanocitosis)?,Autosómico recesivo.
¿Cuál es la causa más frecuente de muerte en pacientes con anemia falciforme?,Sepsis neumocócica.
¿Qué virus se asocia frecuentemente con el desencadenamiento de crisis aplásicas en pacientes con anemia falciforme?,Parvovirus $B19$.
¿Qué forma característica adoptan los eritrocitos en el frotis periférico de un paciente con drepanocitosis?,Eritrocitos en forma de hoz o media luna (drepanocitos).
¿Qué porcentaje aproximado de Hemoglobina S ($\text{HbS}$) se espera encontrar en la electroforesis de un paciente con anemia falciforme?,$85-95$ $\%$.
¿Cuál es el pilar del tratamiento inicial durante una crisis dolorosa en la anemia falciforme?,Rehidratación agresiva y analgesia.
¿Qué fármaco se utiliza para aumentar la Hemoglobina Fetal y reducir la frecuencia de crisis en la anemia falciforme?,Hidroxiurea.
¿De qué enfermedad infecciosa confiere protección el rasgo falciforme?,Malaria (paludismo).
¿Cuál es el isotipo de anticuerpo principal involucrado en la Anemia Hemolítica Autoinmune ($\text{AHAI}$) por anticuerpos calientes?,$\text{IgG}$.
¿Cuál es el isotipo de anticuerpo involucrado en la $\text{AHAI}$ por anticuerpos fríos?,$\text{IgM}$.
¿A qué temperatura ocurre la aglutinación óptima en la $\text{AHAI}$ por anticuerpos calientes?,$37$ $^{\circ}\text{C}$.
¿A qué temperatura ocurre la aglutinación en la enfermedad por crioaglutininas?,$22$ $^{\circ}\text{C}$ (o menores).
¿Cuál es el sitio predominante de hemólisis en la $\text{AHAI}$ por anticuerpos calientes?,Extravascular (en el bazo).
¿Qué microorganismo se asocia frecuentemente con la aparición de anticuerpos fríos ($\text{IgM}$)?,$Mycoplasma \text{ pneumoniae}$ o Virus de Epstein-Barr.
¿Cuál es el tratamiento de elección inicial para la $\text{AHAI}$ por anticuerpos calientes?,Esteroides (Prednisona o Metilprednisolona).
¿Cuál es la medida terapéutica más importante en la $\text{AHAI}$ por anticuerpos fríos?,Evitar la exposición al frío (medidas térmicas).
¿Cuál es el mecanismo fisiopatológico de la Hemoglobinuria Paroxística Nocturna ($\text{HPN}$)?,Mutación somática adquirida en el gen $\text{PIGA}$ que causa déficit de anclaje $\text{GPI}$.
¿Qué proteínas reguladoras del complemento faltan en la membrana de los eritrocitos en la $\text{HPN}$?,$\text{CD55}$ (DAF) y $\text{CD59}$ (MIRL).
¿Cuál es la tríada clínica clásica de la Hemoglobinuria Paroxística Nocturna?,"Hemólisis intravascular crónica, pancitopenia y trombosis venosa atípica."
¿Cuál es el estándar de oro para el diagnóstico de $\text{HPN}$?,Citometría de flujo (detecta ausencia de $\text{CD55}$/$\text{CD59}$).
¿Cuál es el anticuerpo monoclonal indicado para el tratamiento de la $\text{HPN}$?,Eculizumab.
¿Qué tipo de anemia se caracteriza por pancitopenia y médula ósea hipocelular?,Anemia aplásica.
¿Qué criterios se utilizan para estadificar la gravedad de la anemia aplásica?,Criterios de Camitta.
¿Cuál es la tríada de hallazgos en la anemia de Fanconi?,"Pancitopenia congénita, malformaciones renales/esqueléticas y manchas café con leche."
¿Qué malformación en las extremidades superiores es típica de la Anemia de Fanconi?,Hipoplasia del pulgar.
¿Cuál es el tratamiento de elección para la anemia aplásica grave en pacientes jóvenes?,Trasplante alogénico de células progenitoras.
¿Qué tipo de hemólisis (intra o extravascular) predomina en la $\text{AHAI}$ por anticuerpos fríos?,Intravascular (vía $\text{MAC}$).
"En la electroforesis de hemoglobina de un adulto sano, ¿qué porcentaje aproximado representa la $\text{HbA}$?",$96-98$ $\%$.
¿Qué hallazgo en el frotis sugiere una hemólisis de tipo intravascular?,Esquistocitos.
¿Qué hallazgo en el frotis sugiere una hemólisis de tipo extravascular?,Esferocitos.
¿Cómo se clasifica una esferocitosis hereditaria con hemoglobina de $8-12$ $\text{g/dL}$ y reticulocitos $> 6$ $\%$?,Esferocitosis moderada.
Concepto: Prueba de Coombs Directo.,Detecta anticuerpos o complemento adheridos directamente a la membrana del eritrocito del paciente.
¿Por qué los pacientes con $\text{HPN}$ presentan crisis de hemoglobinuria clásicamente por la mañana?,La acidosis respiratoria leve durante el sueño actúa como gatillo para el complemento.
¿Qué fármacos anticonvulsivos se asocian al desarrollo de anemia aplásica?,Fentoína o carbamazepina (según contexto de riesgo por fármacos).
¿Cuál es la causa de muerte por sobrecarga de hierro en pacientes con talasemia mayor?,Falla cardíaca o toxicidad orgánica por hemosiderosis.
¿Qué suplementación vitamínica es fundamental como soporte en casi todas las anemias hemolíticas crónicas?,Ácido fólico.
¿Cuál es la afinidad por el oxígeno de la Hemoglobina Fetal en comparación con la Hemoglobina A?,La $\text{HbF}$ tiene una afinidad mucho mayor por el oxígeno.
"En la anemia falciforme, ¿qué fenómeno físico ocurre con la desoxi-hemoglobina que daña al eritrocito?",Polimerización de la hemoglobina $\text{S}$.
¿Cuál es la composición de cadenas de la Hemoglobina $A_2$?,$\alpha_2\delta_2$.
¿Cómo se encuentra el nivel de haptoglobina en una hemólisis intravascular?,Haptoglobina ausente o muy disminuida.
¿Cuál es el tratamiento definitivo para la Hemoglobinuria Paroxística Nocturna?,Trasplante de médula ósea.
