¿Cuál es el órgano lesionado con mayor frecuencia en el trauma abdominal cerrado?,El bazo (40-55\%).
¿Cómo debe posicionarse a la paciente embarazada para evitar la compresión de la vena cava inferior?,Desplazar el útero hacia la izquierda (15°-30°) o elevar el lado derecho 10-15 cm.
¿Cuál es el orden correcto de las revisiones (primaria/secundaria) en la paciente embarazada traumatizada?,"Revisión primaria materna, revisión primaria fetal y revisión secundaria materna."
¿Cuánta sangre puede perder una paciente embarazada antes de mostrar signos de hipovolemia?,"Entre 1,200 a 1,500 mL."
¿Cuánto tiempo de monitoreo fetal continuo se requiere en pacientes con factores de riesgo para desprendimiento de placenta?,24 horas.
¿Qué complicación se debe sospechar si el líquido amniótico pasa al espacio intravascular materno?,Embolismo de líquido amniótico.
¿A partir de qué cifra de tensión arterial sistólica se define hipotensión en el paciente geriátrico?,Menor a 110 mmHg.
¿Cuál es la causa más común de trauma en el paciente geriátrico?,Caídas (asociadas a polifarmacia).
¿Cuál es el mayor predictor de maltrato infantil en el contexto de trauma?,Lesiones cubiertas por la ropa.
"En pediatría, ¿cuál es la altura de caída mínima considerada indicación de TAC en lactantes menores de un año?",Más de 90 cm.
¿Qué es el Signo de Kehr y qué indica?,Dolor referido al hombro izquierdo por irritación diafragmática tras una ruptura esplénica.
¿Qué hallazgo radiológico sugiere un desgarro del diafragma?,"Elevación diafragmática, apariencia borrosa o sombra de gas que oscurece la placa."
¿Qué estudio diagnóstico es de elección para la sospecha de lesión duodenal?,TAC con doble contraste.
¿Qué mecanismo de lesión sugiere específicamente una lesión duodenal?,Impacto frontal sin cinturón o golpe directo con manubrio de bicicleta.
"En mujeres inconscientes menstruando que sufren trauma, ¿por qué es vital retirar tampones vaginales?",Para evitar sepsis tardía.
¿Cuál es la conducta ante una AngioTAC dudosa en sospecha de trauma vascular?,Realizar arteriografía.
"Ante rabdomiólisis por trauma vascular, ¿cuál es la meta del tratamiento además de la reanimación hídrica?",Administrar bicarbonato ($HCO_{3}$) y mantener diuresis para evitar lesión renal.
¿Cuál es la causa más frecuente de quemaduras en la población general según el texto?,Escaldaduras.
¿Qué lado del diafragma se lesiona con mayor frecuencia en un traumatismo?,El lado izquierdo.
¿Qué indica el hallazgo de fibras vegetales en el aspirado de un LPD?,Positividad inmediata para laparotomía (sugiere perforación intestinal).
